name	gene	chrom	strand	lo	hi	prox	dist	span	direction	max_abs_dprop	qmax	tx	reads	step_prox	step_dist	depth_prox	depth_dist	frac_prox_first	frac_prox_last	peak_shift	n_cells_SPC	n_cells_RS	n_cells_ES
1700049E17Rik1	ENSMUSG00000079271	14	+	41930792	41933898	41931992	41932698	706	shortening	0.2502708559046587	0.0126659928635799	ENSMUST00000095985	169	1.06	5.3	4.02	39.64	0.05174875089221984	0.0	False	370	504	356
Dnm1l	ENSMUSG00000022789	16	-	16311036	16315033	16313833	16312236	1597	shortening	0.2499309498235384	1.7978274567689088e-06	ENSMUST00000023477	663	1.64	75.93	81.76	15.56	0.3458456347532687	0.9203619909502262	True	370	504	356
Anapc16	ENSMUSG00000020107	10	-	59986707	59989781	59988581	59987907	674	shortening	0.2421773142112124	0.0231175487229764	ENSMUST00000182898	915	3.4	4.28	221.92	17.81	0.9345839770470095	0.9831817401750472	False	370	504	356
Pla2g5	ENSMUSG00000041193	4	-	138798053	138801321	138800121	138799253	868	shortening	0.2344322344322343	0.0187393234963125	ENSMUST00000102512	199	683.5	4783.5	6.82	47.82	0.022687944626033456	0.0	False	370	504	356
Ppil4	ENSMUSG00000015757	10	+	7820222	7823762	7821422	7822562	1140	shortening	0.2271308523409363	0.0188064514550641	ENSMUST00000015901	323	0.96	950.12	15.02	37.99	0.29397260273972603	0.031578947368421054	False	370	504	356
Lpin2	ENSMUSG00000024052	17	+	71246127	71249003	71247327	71247803	476	shortening	0.2159380060143419	0.0395761546114001	ENSMUST00000129635	235	23.15	0.19	42.58	1.03	0.8234652114597545	1.0	True	370	504	356
Atp6v1b2	ENSMUSG00000006273	8	+	69111504	69114906	69112704	69113706	1002	shortening	0.2144451207141408	0.0010551347566783	ENSMUST00000006435	648	162.98	835.92	48.88	108.66	0.2281899332383167	0.6155555555555555	True	370	504	356
Zfand3	ENSMUSG00000044477	17	+	30207208	30211174	30208408	30209974	1566	shortening	0.1641514115273837	0.0490005138564351	ENSMUST00000226208	4249	672.27	35.43	1058.81	25.68	0.9109247234247234	1.0	False	370	504	356
Vsig1	ENSMUSG00000031430	X	+	140937032	140939935	140938232	140938735	503	shortening	0.1520547945205479	0.0020365438906239	ENSMUST00000033806	3602	241.57	0.34	841.87	3.02	0.9128184713375797	0.9987864297487729	False	370	504	356
Efcab11	ENSMUSG00000021176	12	-	99716987	99720105	99718905	99718187	718	shortening	0.1501405058209554	0.0350467099091007	ENSMUST00000046485	697	12.28	3.3	181.06	31.48	0.6890225563909774	0.9591041869522883	True	370	504	356
Fnip1	ENSMUSG00000035992	11	+	54514708	54519435	54515908	54518235	2327	shortening	0.1478458656676478	0.0139845870977926	ENSMUST00000046835	411	23.26	119.81	10.46	59.9	0.03643486777668952	0.0	False	370	504	356
Cdk16	ENSMUSG00000031065	X	+	20697685	20701079	20698885	20699879	994	shortening	0.0977443609022556	0.0006319684530761	ENSMUST00000115364	887	1447.76	288.75	246.11	5.76	0.913728432108027	1.0	False	370	504	356
Dpysl5	ENSMUSG00000029168	5	+	30795328	30800167	30796528	30798967	2439	shortening	0.0876632801161103	0.027977926688078	ENSMUST00000114729	908	1374.73	16.86	254.32	6.14	1.0	1.0	False	370	504	356
